Player,Minutes,Actual Impact,Predicted Impact
Max Aarons,1233.0,0.006488240064882401,0.012116992225097113
Brenden Aaronson,1269.0,0.02048857368006304,0.012104934508289068
Paxten Aaronson,99.00000000000001,0.0202020202020202,0.012496810304550502
Yunis Abdelhamid,2781.0,0.004314994606256742,0.011598510402351216
Salis Abdul Samed,1520.9999999999998,0.0039447731755424065,0.01202053049063276
Nabil Aberdin,180.0,0.0,0.012469680441732403
Laurent Abergel,2862.0,0.011530398322851153,0.011571380539533115
Matthis Abline,1044.0,0.0210727969348659,0.012180295238339344
Abner,1404.0,0.00641025641025641,0.012059718070258903
Zakaria Aboukhlal,756.0,0.010582010582010581,0.012276756972803697
Abdel Abqar,2313.0,0.0012970168612191958,0.011755260720855788
Tammy Abraham,243.00000000000003,0.016460905349794237,0.012448579437318325
Francesco Acerbi,2385.0,0.004612159329140462,0.011731145287239701
Joshua Acheampong,9.0,0.0,0.012526954596570612
Marcos Acuña,1296.0,0.020061728395061727,0.012095891220683035
Akor Adams,2250.0,0.011555555555555555,0.011776361725269866
Tyler Adams,117.0,0.008547008547008548,0.01249078144614648
Junior Adamu,108.0,0.009259259259259259,0.012493795875348492
Sargis Adamyan,801.0,0.018726591760299626,0.012261684826793642
Tosin Adarabioyo,1620.0,0.0024691358024691358,0.011987371769410638
Elijah Adebayo,1422.0,0.016877637130801686,0.01205368921185488
Karim Adeyemi,909.0,0.014301430143014302,0.01222551167636951
Simon Adingra,2223.0,0.01799370220422852,0.011785405012875899
Nathaniel Adjei,1242.0,0.0024154589371980675,0.012113977795895101
Amine Adli,900.0,0.034444444444444444,0.01222852610557152
Yacine Adli,1404.0,0.017806267806267807,0.012059718070258903
Adryelson,9.0,0.0,0.012526954596570612
Adson,234.0,0.01282051282051282,0.012451593866520337
Michel Aebischer,2232.0,0.008064516129032258,0.011782390583673887
Emmanuel Agbadou,2592.0,0.005401234567901234,0.011661813415593447
Julen Agirrezabala,234.0,0.0,0.012451593866520337
Lucien Agoume,9.0,0.0,0.012526954596570612
Lucien Agoume,774.0,0.011627906976744186,0.012270728114399675
Felix Agu,1610.9999999999998,0.004345127250155184,0.01199038619861265
Nayef Aguerd,1854.0000000000002,0.0026968716289104636,0.01190899661015835
Ruben Aguilar,1925.9999999999998,0.015576323987538943,0.011884881176542263
Brandon Aguilera,9.0,0.0,0.012526954596570612
Naouirou Ahamada,351.0,0.002849002849002849,0.012412406286894193
Anel Ahmedhodžić,2646.0,0.003401360544217687,0.011643726840381381
Joseph Aidoo,405.0,0.0024691358024691358,0.012394319711682127
Ola Aina,1692.0,0.0076832151300236405,0.01196325633579455
Rayan Aït-Nouri,2331.0,0.012012012012012012,0.011749231862451767
Tosin Aiyegun,900.0,0.01,0.01222852610557152
Kristoffer Ajer,1835.9999999999998,0.008169934640522876,0.011915025468562374
Ludovic Ajorque,1359.0,0.013245033112582781,0.012074790216268958
Manuel Akanji,2511.0,0.005973715651135006,0.011688943278411546
Marley Aké,9.0,0.0,0.012526954596570612
Nathan Aké,2043.0,0.006852667645619187,0.01184569359691612
Ilias Akhomach,1512.0,0.016534391534391533,0.012023544919834771
Sergio Akieme,1674.0000000000002,0.01135005973715651,0.011969285194198572
Sergio Akieme,819.0,0.009768009768009768,0.01225565596838962
Ebenezer Akinsanmiro,18.0,0.05555555555555555,0.012523940167368602
Maghnes Akliouche,1610.9999999999998,0.030415890751086284,0.01199038619861265
Paul Akouokou,27.0,0.0,0.01252092573816659
Paul Akouokou,306.0,0.0,0.01242747843290425
Jean-Daniel Akpa-Akpro,702.0,0.0014245014245014246,0.012294843548015763
David Akpan Ankeye,54.0,0.0,0.012511882450560558
Kevin Akpoguma,1098.0,0.004553734061930784,0.012162208663127278
David Alaba,1152.0,0.009548611111111112,0.012144122087915212
Luis Alberto,2313.0,0.03285776048421963,0.011755260720855788
Raúl Albiol,2034.0000000000002,0.001966568338249754,0.011848708026118131
Thiago Alcántara,9.0,0.0,0.012526954596570612
Carlos Alcaraz,378.0,0.007936507936507936,0.01240336299928816
Rubén Alcaraz,3131.9999999999995,0.008620689655172415,0.011480947663472785
Omar Alderete,2196.0,0.006375227686703097,0.011794448300481932
